தொடங்கும் எழுத்து,பெயர்,பொருள்,ஆண்,பெண்
வா,வாகரை,ஓரூர்,ஆண்,
வா,வாகரைக்காவலன்,,ஆண்,
வா,வாகரைக்கிள்ளி,,ஆண்,
வா,வாகரைக்கிழான்,,ஆண்,
வா,வாகரைக்குமரன்,,ஆண்,
வா,வாகரைக்கூத்தன்,,ஆண்,
வா,வாகரைக்கேள்வன்,,ஆண்,
வா,வாகரைச்சீரன்,,ஆண்,
வா,வாகரைச்சுடரோன்,,ஆண்,
வா,வாகரைச்சுடர்,,ஆண்,
வா,வாகரைச்செம்மல்,,ஆண்,
வா,வாகரைச்செல்வன்,,ஆண்,
வா,வாகரைச்சேய்,,ஆண்,
வா,வாகரைத்தம்பி,,ஆண்,
வா,வாகரைத்துரை,,ஆண்,
வா,வாகரைத்தேவன்,,ஆண்,
வா,வாகரைத்தோன்றல்,,ஆண்,
வா,வாகரைத்தோழன்,,ஆண்,
வா,வாகரைநம்பி,,ஆண்,
வா,வாகரைநல்லன்,,ஆண்,
வா,வாகரைநாடன்,,ஆண்,
வா,வாகரைநேயன்,,ஆண்,
வா,வாகரைப்புலவன்,,ஆண்,
வா,வாகரைப்பொழிலன்,,ஆண்,
வா,வாகரைமணி,,ஆண்,
வா,வாகரைமதி,,ஆண்,
வா,வாகரைமானன்,,ஆண்,
வா,வாகரைமாறன்,,ஆண்,
வா,வாகரைமுதல்வன்,,ஆண்,
வா,வாகரைமுத்தன்,,ஆண்,
வா,வாகரைமுத்து,,ஆண்,
வா,வாகரைமுருகன்,,ஆண்,
வா,வாகரைமுருகு,,ஆண்,
வா,வாகரைமைந்தன்,,ஆண்,
வா,வாகரைய10ரன்,,ஆண்,
வா,வாகரையண்ணல்,,ஆண்,
வா,வாகரையன்,,ஆண்,
வா,வாகரையன்பன்,,ஆண்,
வா,வாகரையப்பன்,,ஆண்,
வா,வாகரையரசன்,,ஆண்,
வா,வாகரையரசு,,ஆண்,
வா,வாகரையழகன்,,ஆண்,
வா,வாகரையான்,,ஆண்,
வா,வாகரைவளவன்,,ஆண்,
வா,வாகரைவாளன்,,ஆண்,
வா,வாகரைவிறல்,,ஆண்,
வா,வாகரைவீரன்,,ஆண்,
வா,வாகரைவெற்பன்,,ஆண்,
வா,வாகரைவேந்தன்,,ஆண்,
வா,வாகரைவேலன்,,ஆண்,
வா,வாகரைவேலோன்,,ஆண்,
வா,வாகரைவேல்,,ஆண்,
வா,வாகை,,ஆண்,
வா,வாகைக்குமரன்,,ஆண்,
வா,வாகைக்கோ,,ஆண்,
வா,வாகைக்கோதை,,ஆண்,
வா,வாகைக்கோன்,,ஆண்,
வா,வாகைக்கோமான்,,ஆண்,
வா,வாகைக்கோவன்,,ஆண்,
வா,வாகைசூடி,,ஆண்,
வா,வாகைச்சுடர்,,ஆண்,
வா,வாகைச்சென்னி,,ஆண்,
வா,வாகைச்செல்வன்,,ஆண்,
வா,வாகைச்செழியன்,,ஆண்,
வா,வாகைச்சேரன்,,ஆண்,
வா,வாகைச்சோழன்,,ஆண்,
வா,வாகைத்தம்பி,,ஆண்,
வா,வாகைத்துரை,,ஆண்,
வா,வாகைத்தேவன்,,ஆண்,
வா,வாகைநம்பி,,ஆண்,
வா,வாகைநாடன்,,ஆண்,
வா,வாகைநிலவன்,,ஆண்,
வா,வாகைநெஞ்சன்,,ஆண்,
வா,வாகைநேயன்,,ஆண்,
வா,வாகைப்புகழன்,,ஆண்,
வா,வாகைமகன்,,ஆண்,
வா,வாகைமணி,,ஆண்,
வா,வாகைமன்னன்,,ஆண்,
வா,வாகைமருகன்,,ஆண்,
வா,வாகைமருதன்,,ஆண்,
